epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.01706548221409321,0.012156219221651554,0.01885542168737027,0.5683536558775011,0.02683346451649333,0.6923064293102282
2,0.009071522392332554,0.006294126622378826,0.03342289916758987,0.6717660299946083,0.05282660222126738,0.7719933717376535
3,0.01007294375449419,0.007165560964494944,0.06498567604502285,0.7815422311143809,0.13269086868393132,0.8679070204072431
4,0.0065034436993300915,0.002767904894426465,0.13700051462950222,0.885022498616992,0.22583540457677906,0.916627820286687
5,0.006016249768435955,0.0064934538677334785,0.20838337822122469,0.9278275444108921,0.19530624068115957,0.9190026128809194
6,0.0036777621135115623,0.0057100048288702965,0.25078866456380144,0.9548863888143397,0.3015483977476706,0.9310435460322687
7,0.0053417859598994255,0.005045989993959665,0.2792058037042661,0.9625405406877373,0.29844607404913204,0.9351611110925603
8,0.006856466643512249,0.006250869017094374,0.3027046403808829,0.9689916193453804,0.29159478772196423,0.9351828975529806
9,0.0027522677555680275,0.00365202478133142,0.320491164421385,0.9724628093691683,0.16931606282567518,0.9295017464798484
10,0.004155536647886038,0.00216311844997108,0.32812200736060665,0.9759530155458502,0.32006097547801104,0.9363687858213814
11,0.004928612615913153,0.004776105750352144,0.33853698684482464,0.977137042655124,0.32367557844601264,0.9399033256612505
12,0.0033943478483706713,0.002377356169745326,0.34617125156929196,0.9777515926309486,0.33427687240179443,0.9408857762819196
13,0.005047445185482502,0.004855419509112835,0.35517574485264536,0.9790932485338636,0.3372208909341995,0.9395840073482556
14,0.004459241405129433,0.004192466381937265,0.36386418843883717,0.9799584515544764,0.3333859650604397,0.9406913108416225
15,0.00541935907676816,0.004293795675039291,0.3643867851119328,0.9802798683664186,0.3148927630817225,0.9380886873708401
16,0.004838395863771439,0.004067640285938978,0.36869470394884624,0.9806594130092713,0.34255105055626345,0.9401809351105463
17,0.00552754383534193,0.005654697772115469,0.3718345899175297,0.9810238965560587,0.34156869794240086,0.9391652139394031
18,0.0030807149596512318,0.002974356058984995,0.3751911015483185,0.9811071058534726,0.33252109457587015,0.9400530647498322
19,0.004076533950865269,0.0023451163433492184,0.37549187295409303,0.9810475535554116,0.33149404453784637,0.9385096891968283
20,0.0018900884315371513,0.006611955817788839,0.37923461323998403,0.9812900113178613,0.31838065690777984,0.9354091429719384
21,0.003968973644077778,0.0035075913183391094,0.3817225029046506,0.9813480756061633,0.3385598863652445,0.9399013863729475
22,0.0028645715210586786,0.003519396996125579,0.3805313709595845,0.9814702463695887,0.33660792941186857,0.940407894832856
23,0.003975451458245516,0.002243569353595376,0.3798197293641153,0.9816449491815283,0.3353203031295928,0.9386268105266881
24,0.0036038802936673164,0.0037823948077857494,0.3823412459917047,0.981815984235371,0.3438823813403581,0.940230243779193
25,0.0009738263324834406,0.0068841734901070595,0.38166920333157767,0.9819381024579872,0.31887409273774786,0.9365162111278911
